id,name
Q127830,accipiter princeps
Q194080,theropithecus gelada
Q226043,rhinoplax vigil
Q254919,pyrrhura albipectus
Q285648,cebus nigritus
Q289264,mammillaria guillauminiana
Q500608,cymbidium iridioides
Q504549,testudo graeca
Q549112,pyrilia pyrilia
Q589765,sclerocactus pubispinus
Q605350,aviceda leuphotes
Q617460,opuntia laevis
Q899825,cercopithecus ascanius
Q913760,crossoptilon crossoptilon
Q1263655,chaetocercus astreans
Q1265886,ninox variegata
Q1266761,rhynchopsitta terrisi
Q1315287,cypripedium macranthos
Q1387832,dalbergia tricolor
Q1599783,phalaenopsis tetraspis
Q1869189,crypthelia papillosa
Q1961844,stylaster multiplex
Q2123132,scaphirhynchus suttkusi
Q2138991,nilssonia formosa
Q2169898,sporadopora mortenseni
Q2219542,distichopora irregularis
Q2376041,distichopora livida
Q2650070,aloe parvicapsula
Q2701972,pangshura sylhetensis
Q2716575,peltocephalus dumerilianus
Q2784160,cymbidium madidum
Q2923526,bradypodion transvaalense
Q3005570,oncidium sphacelatum
Q3281953,paphiopedilum wardii
Q3409712,pseudocordylus melanotus
Q3934861,acropora azurea
Q3935573,halomitra pileus
Q3935848,madracis pharensis
Q3938745,fungia fungites
Q3941195,fungia curvata
Q3942107,stolarskicyathus pocilliformis
Q3942372,stephanocyathus laevifundus
Q3950947,favia maritima
Q3951677,tropidocyathus labidus
Q4000472,tanacetipathes tanacetum
Q4500988,andinobates abditus
Q4987358,bulbophyllum andreeae
Q4987438,bulbophyllum bacilliferum
Q4988195,bulbophyllum hymenanthum
Q4988201,bulbophyllum iboense
Q4995110,bulbophyllum mearnsii
Q4995189,bulbophyllum morotaiense
Q4995617,bulbophyllum rienanense
Q4995730,bulbophyllum serripetalum
Q5224573,dendrobium sinense
Q5225808,eulophia andamanensis
Q5481498,masdevallia caudata
Q5851775,euphorbia muirii
Q10344355,paphiopedilum schoseri
Q10368599,satyrium rostratum
Q10880349,sunipia bicolor
Q10960302,luisia brachystachys
Q13456610,caryophyllia tangaroae
Q15344047,opuntia cylindrica
Q15389039,euphorbia nyikae
Q15434973,phaius nanus
Q15440067,cribbia brachyceras
Q15440368,calanthe micrantha
Q15442775,catasetum merchae
Q15448572,scaphosepalum fimbriatum
Q15458270,dendrobium kraemeri
Q15472173,epidendrum pallidiflorum
Q15479459,gongora claviodora
Q15481419,pelexia cuculligera
Q15481450,gongora rubescens
Q15482814,habenaria rumphii
Q15485732,lepanthes droseroides
Q15488017,lepanthes obtusipetala
Q15491621,appendicula congesta
Q15492993,pterostylis scabra
Q15496176,ceratostylis graminea
Q15497362,masdevallia yungasensis
Q15498262,angraecum huntleyoides
Q15499733,chondrorhyncha velastiguii
Q15499842,maxillaria cymbidioides
Q15499898,appendicula elegans
Q15500650,lepanthes exposita
Q17041915,cyathea tuyamae
Q17042043,cyathea alstonii
Q17137984,cyathea brunei
Q17188657,alsophila edanoi
Q39327830,laelia bahiensis
Q39387304,eria aporina
Q40659717,spizaetus nipalensis
Q55940541,pteroceras emarginatum
Q84619700,micropsitta pusio
Q25353,accipiter gentilis
Q133426,echinopsis pachanoi
Q144556,harrisia fragrans
Q150716,mammillaria klissingiana
Q211865,aloe pseudoparvula
Q310093,parodia nivosa
Q582865,gymnocalycium pflanzii
Q967514,encephalartos ituriensis
Q1075004,buteo platypterus
Q1280358,echinocereus barthelowanus
Q1280391,echinocereus longisetus
Q1280501,echinopsis baldiana
Q1586225,harrisia hurstii
Q1595652,bulbophyllum lobbii
Q1600736,restrepia lansbergii
Q1888315,mammillaria morganiana
Q2038346,dendrobium lindleyi
Q2116157,pterocactus fischeri
Q2292025,lepidotheca horrida
Q2311465,habenaria tridactylites
Q2342864,stenocereus pruinosus
Q2416645,thelocactus garciae
Q2714007,bradypodion gutturale
Q2715451,bradypodion setaroi
Q3098482,garrulax formosus
Q3205879,bulbophyllum orientale
Q3943346,holcotrochus scriptus
Q4157869,dendrobium parishii
Q4987598,bulbophyllum cephalophorum
Q4987787,bulbophyllum debruynii
Q4987800,bulbophyllum decurviscapum
